ca[deg],P[bar],T[K],HR[J/deg]
-143.6,1.1115185846846205,360.33151723490766,-1.4752507762811341e-27
-143.39999999999998,1.1128540029503258,360.450398305213,-1.5162925157878665e-27
-143.2,1.1141992369989575,360.5700443992525,-1.5587407052177428e-27
-143.0,1.1155543332300464,360.69045747564263,-1.6026540521349934e-27
-142.79999999999998,1.116919338458914,360.81163950609977,-1.6480944618179748e-27
-142.6,1.1182942999199446,360.933592475466,-1.695127234821304e-27
-142.39999999999998,1.119679265269892,361.05631838173593,-1.7438212755321526e-27
-142.20000000000002,1.1210742825912217,361.1798192360825,-1.7942493122818337e-27
-142.0,1.1224794003954923,361.3040970628834,-1.8464881296115354e-27
-141.79999999999998,1.1238946674840429,361.42915394981713,-1.9004757508735575e-27
-141.6,1.1253201331105984,361.5549919913661,-1.9561728177354053e-27
-141.4,1.1267558472310382,361.6816132031659,-2.0138080594186642e-27
-141.2,1.128201860085762,361.80901966983964,-2.0734562885099345e-27
-141.0,1.1296582223596427,361.93721348995535,-2.135195935441111e-27
-140.8,1.1311249851855372,362.06619677607455,-2.1991092972218306e-27
-140.6,1.1326022001478264,362.195971654801,-2.2652828031045414e-27
-140.4,1.134089919286,362.3265402668289,-2.333807298075624e-27
-140.20000000000002,1.1355881950982731,362.45790476699165,-2.4047783451274077e-27
-140.0,1.1370970805452467,362.5900673243103,-2.4782965473081235e-27
-139.8,1.138616629053604,362.72303012204236,-2.5544678906085242e-27
-139.6,1.1401468945198472,362.85679535772977,-2.6334041087993773e-27
-139.4,1.141687931314075,362.99136524324797,-2.71522307139473e-27
-139.2,1.1432397943174473,363.1267420337081,-2.8000203812980347e-27
-139.0,1.144802538837224,363.2629279514368,-2.8879457300636408e-27
-138.79999999999998,1.1463762206884904,363.39992525262176,-2.9791369285878093e-27
-138.6,1.1479608961762895,363.53773620871783,-3.0737389891833222e-27
-138.39999999999998,1.1495566220989106,363.6763631059019,-3.1719052411423904e-27
-138.20000000000002,1.1511634557519186,363.8158082451264,-3.2737978802664956e-27
-137.99999999999997,1.152781454932224,363.9560739421735,-3.379588551782064e-27
-137.8,1.1544106779421992,364.0971625277084,-3.489458968452808e-27
-137.6,1.1560511835938332,364.23907634733354,-3.603601565811928e-27
-137.4,1.1577030312129382,364.3818177616419,-3.722220196533812e-27
-137.20000000000002,1.159366280643393,364.5253891462714,-3.8455308660938784e-27
-137.0,1.1610409922514369,364.6697928919579,-3.973762511969654e-27
-136.79999999999998,1.162727227009651,364.81503140576876,-4.106582537771404e-27
-136.6,1.1644250463773531,364.9611071093107,-4.24399652564532e-27
-136.4,1.1661345122606188,365.1080224381374,-4.386666277291803e-27
-136.2,1.167855687168991,365.25577984405686,-4.5348113418063394e-27
-136.0,1.1695886341574364,365.4043817942557,-4.688662771656153e-27
-135.8,1.1713334168309617,365.5538307713543,-4.848463978192345e-27
-135.6,1.1730900993492752,365.70412927346024,-5.014471649051288e-27
-135.4,1.1748587464314992,365.85527981422297,-5.186956730954446e-27
-135.2,1.1766394233609345,366.0072849228879,-5.36620548160548e-27
-135.0,1.178432195989873,366.1601471443504,-5.552520594604456e-27
-134.8,1.180237130744463,366.3138690392103,-5.7462224015331666e-27
-134.6,1.1820542946296266,366.46845318382594,-5.947650155592641e-27
-134.39999999999998,1.1838837552380654,366.62390217173544,-6.157164465212712e-27
-134.20000000000002,1.1857255808198153,366.7802186355444,-6.37516576862168e-27
-134.00000000000003,1.1875798400964557,366.9374051823335,-6.602045572548124e-27
-133.8,1.18944660244268,367.0954644535116,-6.838234625805978e-27
-133.59999999999997,1.1913259378377354,367.2543991066445,-7.084190517857055e-27
-133.4,1.1932179168706825,367.414211815514,-7.340399563902284e-27
-133.20000000000002,1.1951226107457056,367.5749052701771,-7.60737881045208e-27
-133.0,1.1970400912874861,367.7364821770244,-7.885678168311518e-27
-132.8,1.198970430946627,367.89894525883955,-8.17588268034617e-27
-132.6,1.2009137028051413,368.0622972548578,-8.478614931816499e-27
-132.4,1.202869980581994,368.2265409208253,-8.794537611542021e-27
-132.2,1.204839338638708,368.3916790290576,-9.12435623264534e-27
-132.0,1.2068218519850258,368.55771436849903,-9.468822022161076e-27
-131.79999999999998,1.2088175962975192,368.7246497724113,-9.826088152523399e-27
-131.6,1.2108266479007883,368.89248806646674,-1.0196683518425242e-26
-131.4,1.2128490837775177,369.06123207691076,-1.0582749110346936e-26
-131.2,1.214884981589244,369.23088466261134,-1.0984975843880928e-26
-131.0,1.2169344196750222,369.40144869959744,-1.1404093760763662e-26
-130.8,1.2189974770574623,369.5729270811266,-1.1840875206035754e-26
-130.6,1.2210742334488314,369.7453227177525,-1.2296138249990044e-26
-130.4,1.2231647692572183,369.9186385373929,-1.2770750369644379e-26
-130.2,1.2252691655927657,370.09287748539657,-1.3265632405358938e-26
-130.0,1.2273875042739686,370.26804252461136,-1.3781762809215707e-26
-129.8,1.2295198678340413,370.4441366354516,-1.432018220275069e-26
-129.60000000000002,1.2316663395273502,370.6211628159657,-1.4881998262772508e-26
-129.4,1.233827003347275,370.79912408789625,-1.5468539190835533e-26
-129.20000000000002,1.2360019440828875,370.9780235231939,-1.60820149043644e-26
-129.00000000000003,1.238191247138424,371.1578641453082,-1.6723078738312602e-26
-128.8,1.2403949987236547,371.3386490261728,-1.739323030414328e-26
-128.6,1.2426132858031609,371.5203812559232,-1.809407236239867e-26
-128.4,1.244846196103208,371.7030639429737,-1.8827318385290673e-26
-128.2,1.247093818118696,371.8867002140928,-1.9594800617206755e-26
-128.0,1.2493562411201848,372.0712932144797,-2.039847866353566e-26
-127.79999999999998,1.2516335551609925,372.2568461078401,-2.1240448640113407e-26
-127.6,1.2539258510843707,372.4433620764625,-2.212295291764188e-26
-127.40000000000002,1.2562332205307594,372.6308443212942,-2.3048390497558037e-26
-127.19999999999999,1.2585557559451155,372.8192960620175,-2.4019328058209307e-26
-126.99999999999999,1.2608935505843246,373.0087205371254,-2.5038511712571317e-26
-126.8,1.263246698653377,373.19912103021085,-2.6094616322068344e-26
-126.59999999999998,1.2656152950408759,373.39050081447874,-2.71924503134103e-26
-126.4,1.2679994354454946,373.58286317721036,-2.833975413679449e-26
-126.19999999999997,1.2703992164595106,373.7762114352382,-2.9538824559975537e-26
-126.0,1.272814735526461,373.97054892478235,-3.079209604324478e-26
-125.80000000000001,1.27524609094909,374.1658790015336,-3.2102153257601603e-26
-125.60000000000001,1.277693381897385,374.3622050407365,-3.347174465181838e-26
-125.4,1.2801567084166976,374.559530437273,-3.490379713556613e-26
-125.2,1.2826361714359542,374.75785860574507,-3.640143195011734e-26
-125.00000000000001,1.285131872775952,374.95719298055843,-3.796798180283112e-26
-124.8,1.2876439151577517,375.15753701600534,-3.9607009346575454e-26
-124.6,1.290172402211153,375.3588941863479,-4.132232709055992e-26
-124.39999999999999,1.2927174385341051,375.5612679941522,-4.31210218105339e-26
-124.2,1.295279129771922,375.76466198169976,-4.501762188528389e-26
-124.0,1.297857582199462,375.96907966192884,-4.700894102164424e-26
-123.8,1.3004529031831036,376.1745245921216,-4.9100883060055727e-26
-123.6,1.3030652010431432,376.381000350144,-5.1299802591015794e-26
-123.4,1.305694585062905,376.5885105345366,-5.361253875334674e-26
-123.19999999999999,1.3083411654979542,376.7970587646049,-5.604645127729148e-26
-122.99999999999999,1.3110050535854054,377.0066486805098,-5.860945891702645e-26
-122.79999999999998,1.3136863615533387,377.21728394335815,-6.131008042685436e-26
-122.60000000000001,1.3163852026303142,377.4289682352933,-6.415747824547828e-26
-122.39999999999999,1.3191016910549929,377.6417052595856,-6.716150506386218e-26
-122.20000000000002,1.3218359420858634,377.8554987407226,-7.033275346375362e-26
-122.0,1.3245880720110772,378.0703524245,-7.368260882653422e-26
-121.80000000000001,1.3273581983630853,378.2862701155589,-7.713097880792133e-26
-121.60000000000002,1.3301464394577065,378.50325559108586,-8.071906122637358e-26
-121.39999999999998,1.3329529146952575,378.72131265444335,-8.447779683510184e-26
-121.2,1.3357777446000423,378.9404451405175,-8.84148658722429e-26
-121.0,1.3386210507783642,379.160656906202,-9.25384139886941e-26
-120.8,1.3414829559290913,379.38195183049754,-9.685710348272361e-26
-120.60000000000001,1.3443635838543446,379.60433381461115,-1.0138016940705966e-25
-120.39999999999999,1.3472630594703023,379.8278067820558,-1.0611748088139293e-25
-120.2,1.3501815088181235,380.0523746787497,-1.1107960796587486e-25
