grid,velocity,eField,T,density,X_H2,X_O2,X_H2O,X_CH4,X_CO,X_CO2,X_N2,X_H,X_O,X_OH,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO,X_HCO+,X_H3O+,X_E
0.020062499999999997,0.38048388557516494,-73.6801892222401,300.0524387169679,1.1217553853874724,0.0005534623693303091,0.1900079607834057,6.727652878488204e-06,0.09499804045784675,6.761161872565864e-07,3.254768392145308e-08,0.7144330768119359,1.452973979954999e-17,1.89916507612835e-11,6.535567444994804e-13,7.893453180292613e-09,4.717791793044644e-09,0.0,4.4711969855028717e-36,1.2305641738071393e-20,5.907810795455255e-22,4.891160582461883e-10,3.543254668796398e-20,5.93367441199539e-09,4.795686610362333e-22,1.3556261947445722e-12,8.824115080307243e-10,3.3410419730546976e-33,1.787403313231507e-10,4.496983442804423e-24,1.2233477095967567e-09,4.822047286515662e-17,1.8076556167980902e-09,1.2041208468149058e-21,2.378364101149883e-11,1.3022500851447107e-14,3.9309870017150266e-16,4.2518666531150205e-19,6.826818849463296e-12,2.254836729883621e-12,1.6328719722469515e-27,3.25407793503818e-11,3.075514789443674e-11,5.2842837436485725e-14,1.2246711576325428e-13,1.1707988092390187e-33,3.018860849068859e-12,4.3401129496156675e-15,2.0019435496371373e-36,6.117968952147548e-14,8.300843885428927e-16,6.06739667870116e-13,1.5182185172750002e-15,0.0,2.612863986720095e-16,1.799951168749122e-12,4.740926195465714e-19,1.1531386197610308e-11,1.3014479749882224e-24,1.2378969885526416e-16,1.6494996122042775e-13
0.020249999999999997,0.3808421969033248,-97.41937277537103,300.2074788976451,1.1206999937704905,0.0010088953415205416,0.18991603401597645,2.6506602367300662e-05,0.09494171506044988,2.8527358398630778e-06,1.714493250942661e-07,0.7141037153781735,3.041422006464002e-16,5.796712779791436e-11,9.341112447064552e-12,3.325240922213953e-08,1.9965349549387772e-08,0.0,4.028560551363257e-33,6.569761021293788e-19,3.3203612798311276e-20,1.925688124810956e-09,1.651453020696088e-18,3.15423949790236e-08,3.25065321997364e-20,2.0297675747543905e-11,4.7666852708303736e-09,2.4370656552501773e-31,8.99331845957239e-10,3.345801671594628e-22,6.351414858312439e-09,1.3994685494931534e-15,1.0061666037448859e-08,2.0527347473951362e-20,1.435020296510289e-10,7.856597062378712e-14,1.5625129180852538e-15,4.0720960627259326e-18,2.018121910660366e-11,9.071088612030984e-12,3.439101635353635e-26,1.3825701886700012e-10,1.49138594278832e-10,2.804459887053162e-13,5.181823012875322e-13,8.657920932712396e-32,1.6264880863924816e-11,2.3565755752213354e-14,1.7927713420330067e-33,3.2349585841417445e-13,4.389183157834931e-15,3.2082168724111412e-12,7.999055883262814e-15,0.0,1.8175767360604673e-15,1.2523845714406831e-11,7.511334349459973e-18,7.012595364276365e-11,1.7557767133455846e-27,3.768429174825182e-16,2.865907304945461e-13
0.020343749999999997,0.3813099719319685,-114.37111654053598,300.46785515656234,1.1193251661754364,0.0013922518105683422,0.18983279005413053,5.9627171006058343e-05,0.09488563202340132,6.732142830486836e-06,4.7470924371987737e-07,0.7138222102599024,2.235205728912804e-15,1.1039772390057689e-10,5.299041946620417e-11,7.844363473461692e-08,4.717008420558735e-08,1.0956594028409802e-43,3.2730311329125857e-31,8.218007751698261e-18,4.205258043363683e-19,4.302103375729581e-09,2.3159840060743998e-17,8.782627659017595e-08,5.070052135465812e-19,1.2082087127792622e-10,1.3445290909412451e-08,3.789695466999565e-30,2.4076982546765365e-09,5.228983177339095e-21,1.7399106428005255e-08,1.5948386056170375e-14,2.90186953112905e-08,1.3517641357034445e-19,4.397608792144498e-10,2.407618408673331e-13,3.4886961765536524e-15,1.86960089561092e-17,3.745017275552777e-11,2.0702628657212612e-11,2.5546137439769974e-25,3.2831228833685845e-10,3.882014701807313e-10,7.80796864110744e-13,1.2246547347224757e-12,1.3988191112710034e-30,4.578905875566193e-11,6.671587346679098e-14,1.455635045860229e-31,8.982055081140616e-13,1.218682832626335e-14,8.907803402989416e-12,2.2149760926652257e-14,0.0,6.266265690513789e-15,4.2821729909417e-11,3.9656156604753666e-17,2.161868713748029e-10,2.2197360469218915e-30,1.303802927209108e-15,4.1041926701844336e-13
0.020437499999999997,0.38236117232444766,-140.00922174272287,301.136214120869,1.1162478792039905,0.001949437415042742,0.1896978142311027,0.00014444749692393968,0.09478529145928279,1.7226624544101098e-05,1.4567714553443198e-06,0.713403522071537,1.7114610005935007e-14,2.2252672356310399e-10,2.814429636095213e-10,2.007294365120372e-07,1.207564223078548e-07,2.1462529443344808e-41,2.720695659384667e-29,1.031506594778446e-16,5.3169779945256846e-18,1.0243824759632077e-08,3.6464777368603115e-16,2.7101896926770584e-07,8.358705041040113e-18,7.202260221203843e-10,4.213535668524225e-08,6.312791565242253e-29,7.111768750736534e-09,8.536566818757739e-20,5.2749789705785645e-08,1.507137583215967e-13,9.326885636424158e-08,1.3381446120791176e-18,1.5139039890827147e-09,8.288337688840443e-13,8.169501333372407e-15,1.0547856506605761e-16,7.292485491170661e-11,5.098895843468537e-11,2.010948930355637e-24,8.471015647837985e-10,1.1095804859337345e-09,2.411156806285349e-12,3.1385990282788836e-12,2.4441689526242986e-29,1.4317869128594312e-10,2.0993982794184726e-13,1.2051518797753769e-29,2.765168563788824e-12,3.7517733173930184e-14,2.7423092785580622e-11,6.798041458041243e-14,0.0,2.47710341624722e-14,1.6681794433128416e-10,2.469722268841259e-16,7.49279102543204e-10,1.160136281641941e-33,5.986783143336237e-15,6.261164232481573e-13
0.020531249999999997,0.38483365638163425,-182.0556669702389,302.8448450798473,1.109076195960074,0.0027565019155061203,0.18946449134316024,0.0003606146486974114,0.09459306259402601,4.549845307472534e-05,4.622454649308672e-06,0.7127728167754324,1.3654043363404725e-13,4.682260964911485e-10,1.4160966807391128e-09,5.312084339881875e-07,3.181821757835198e-07,1.23362019610317e-38,2.278780183593538e-27,1.241529179248817e-15,6.461746876019206e-17,2.4706091483787916e-08,5.755320804709848e-15,8.628867012610999e-07,1.3528777305365996e-16,4.2408896392233265e-09,1.3651362318338738e-07,1.1286428409312394e-27,2.1716313483352735e-08,1.393092803838361e-18,1.6534249777235453e-07,1.3755393224483657e-12,3.0999779405375815e-07,1.7777178119930403e-17,5.389365209248358e-09,2.950568985224535e-12,1.952751611396187e-14,7.238356336304553e-16,1.4552560176446533e-10,1.2947683696626055e-10,1.7219045438132932e-23,2.2652790930002144e-09,3.2679837372713295e-09,7.699273753131677e-12,8.298880611934004e-12,4.548462769787227e-28,4.628489431191447e-10,6.829344779238104e-13,9.970657125652413e-28,8.802350527841288e-12,1.1943005677728484e-13,8.729580430280637e-11,2.1576991879838903e-13,0.0,1.0335601657285048e-13,6.718714634068539e-10,1.6861176032426507e-15,2.685470375639106e-09,2.826468225387797e-37,2.8577506773948895e-14,1.0513596092361455e-12
0.020578124999999996,0.38738605651175695,-210.4407863829754,304.6879624581953,1.1017687408277348,0.0032947416115091293,0.1892706997124794,0.0005932719319278067,0.09442127137649066,7.749246298697535e-05,8.82872760578666e-06,0.7123292855296277,4.494404241296378e-13,7.145048365038262e-10,3.4533393637533986e-09,9.092678873813312e-07,5.386927755526627e-07,4.797197407839941e-37,2.726347977140633e-26,4.814436191619512e-15,2.5236428671994115e-16,3.946257636364172e-08,2.6684418757187502e-14,1.6474314442653666e-06,6.352394406905671e-16,1.210996003463326e-08,2.64175187036752e-07,6.028903957794245e-27,4.047586187975406e-08,6.6781874163410425e-18,3.133179075232549e-07,5.499892529422013e-12,6.100107085208278e-07,8.255155822630922e-17,1.1092649708127936e-08,6.072986303763369e-12,3.138040748267211e-14,2.6521513394726414e-15,2.101585975036649e-10,2.152264622945879e-10,6.113253464939708e-23,3.91259295492126e-09,5.926051832634735e-09,1.4765259982392516e-11,1.4136997620475557e-11,2.476391164001687e-27,8.944213866533356e-10,1.3249363552830825e-12,1.1796193110571555e-26,1.6847162251211345e-11,2.2858184792595763e-13,1.670788009741752e-10,4.1231740808485747e-13,0.0,2.4543469866433806e-13,1.5029731229494056e-09,5.116992879431444e-15,5.5524763530902445e-09,3.2967644786031313e-37,7.35237435116784e-14,1.4628674431625252e-12
0.020624999999999998,0.3917825086569427,-249.5645147175611,307.93472019263197,1.0894050608853387,0.003948938281175637,0.18897786143346365,0.0010013411018300964,0.09415169034398692,0.00013602706130058455,1.761494196161492e-05,0.7117580395787263,1.5360118265991373e-12,1.1315929905751204e-09,8.17823340374565e-09,1.6084824828909168e-06,9.364245257676098e-07,2.0081487038757777e-35,3.372942490088597e-25,1.8481507511893088e-14,9.806335142588493e-16,6.440415115039812e-08,1.2551312505387168e-13,3.2812105083096456e-06,3.020811376372789e-15,3.499633824601432e-08,5.347214273779374e-07,3.6658915546275285e-26,7.857042895532117e-08,3.331898281869893e-17,6.195561958423999e-07,2.0704736928685924e-11,1.2587252121750539e-06,4.1180953296994733e-16,2.4076923596846503e-08,1.3181535872368665e-11,5.1509616616307925e-14,9.728723248524707e-15,3.077950710069476e-10,3.675157767920135e-10,2.382024122798654e-22,7.005141828894922e-09,1.1125491474881208e-08,2.959529327877177e-11,2.48160738753202e-11,1.5218987139549947e-26,1.8075005216960816e-09,2.6894004770921014e-12,1.4297872414284732e-25,3.3692743217238795e-11,4.571422444027996e-13,3.341417843216526e-10,8.232661301674431e-13,0.0,6.335936456450356e-13,3.5867539691382155e-09,1.7247793616489145e-14,1.211449562326748e-08,3.9404619378533986e-36,2.0292566669081868e-13,2.1382893739490054e-12
0.020671875,0.39934549113546636,-304.7481641537235,313.6058448675417,1.0687734234427946,0.004738152621478771,0.18852126130136862,0.0017083896244355547,0.09372319893036084,0.00024202585371811626,3.575307024980399e-05,0.7110145473713511,5.547681705761761e-12,1.8720438236515646e-09,1.8820579728101427e-08,2.8978615318950857e-06,1.639016722352131e-06,9.286071129073879e-34,4.394010266817755e-24,6.999156549815265e-14,3.790795065126424e-15,1.0714303201956361e-07,5.823875027239553e-13,6.630703626273914e-06,1.412825982385068e-14,1.0086075755957388e-07,1.1007576230010207e-06,2.6765308646743745e-25,1.5504678573714984e-07,1.7173875487679643e-16,1.2458198156617792e-06,7.568433056826319e-11,2.644668369690439e-06,2.110215986298858e-15,5.325955236660054e-08,2.91580501834826e-11,8.575200832817257e-14,3.7260196645882845e-14,4.5397490434083964e-10,6.348011112662162e-10,1.0745375330682504e-21,1.2830763451783564e-08,2.1094359650028366e-08,6.03567409536677e-11,4.4139861574282806e-11,1.0998308628147837e-25,3.714651569739568e-09,5.552034641743413e-12,1.795534627493008e-24,6.855541615132994e-11,9.301580859547303e-13,6.798856317130391e-10,1.673011668907921e-12,0.0,1.7274055631786856e-12,8.745736541355419e-09,6.38974724220255e-14,2.6944342868899923e-08,5.232095628826889e-35,5.584802217955918e-13,3.338566595397422e-12
0.0206953125,0.4051511124601551,-337.80340872134946,317.9961162154513,1.053458412357969,0.005193765138981769,0.18818821956195206,0.002253444198002376,0.09341042255552807,0.00032698061247121956,5.198278174443501e-05,0.7105513453597936,1.1363763485529493e-11,2.499542495385805e-09,2.9028924961551964e-08,3.958298000891016e-06,2.1819844467687215e-06,7.654901992967365e-33,1.786143359444586e-23,1.4189752218684832e-13,7.797903345968832e-15,1.4185885950634594e-07,1.299026969950389e-12,9.596849108587725e-06,3.163975996002189e-14,1.7941472484567222e-07,1.6125253567641396e-06,8.43783541080107e-25,2.2187722485151917e-07,4.156761960373327e-16,1.8015954003913179e-06,1.5580980936858578e-10,3.921672412056175e-06,5.066500432461916e-15,8.133383168921605e-08,4.4527378483718884e-11,1.1227273165901148e-13,8.25355936302182e-14,5.541506035127662e-10,8.431577537000726e-10,2.5996502009213632e-21,1.7752759200015243e-08,2.936338670809165e-08,8.799533376465855e-11,5.960773191896053e-11,3.4125757142823547e-25,5.436663130045738e-09,8.146346307801489e-12,7.099844519357949e-24,9.981837576347748e-11,1.3543331577325901e-12,9.899293116755122e-10,2.4352088764887957e-12,0.0,3.0919298739600216e-12,1.4148048427602647e-08,1.3542007903694998e-13,4.128430744728654e-08,2.235590218869519e-34,9.732133807716525e-13,4.350406677544194e-12
0.020718749999999998,0.4129875050807435,-376.9491067214003,323.94944039042923,1.0334691545061194,0.005692185981999213,0.18775085940227154,0.0029868583022215653,0.09300280193025882,0.00044491834452218523,7.648505833268926e-05,0.7100113872507315,2.4224233518441296e-11,3.4146912841830493e-09,4.474753112083824e-08,5.461065958326011e-06,2.9124642368439107e-06,6.957614223363471e-32,7.7220914552992e-23,2.9288290275057574e-13,1.640842455885171e-14,1.9185442076450492e-07,2.9271505401640386e-12,1.4035927439435742e-05,7.151453782977619e-14,3.2116637439982373e-07,2.3908131056184446e-06,3.0058480704317364e-24,3.2095268679538694e-07,1.044131117385318e-15,2.635177719037884e-06,3.1987487534391916e-10,5.894195637706277e-06,1.2475466070260346e-14,1.2616728644030962e-07,6.907092282053797e-11,1.4817498656639162e-13,1.7931358219713868e-13,6.779461076807624e-10,1.1259975095721023e-09,6.89183252866342e-21,2.4886508527248584e-08,4.111140599990216e-08,1.2985748776615304e-10,8.105946343460016e-11,1.1826715022386556e-24,8.052476541860131e-09,1.2098655392820925e-11,2.955400044735594e-23,1.4709901405289414e-10,1.9958357885384454e-12,1.4588236709334178e-09,3.5883292183583066e-12,0.0,5.756606802254295e-12,2.338362474533861e-08,3.046448023864746e-13,6.427967124697572e-08,1.0466665492751258e-33,1.7339090163227888e-12,5.808227846087269e-12
