P[bar],断熱火炎t1[K]
75.01325,2392.416543488914
76.01325,2392.5972608410807
77.01325,2392.775071065393
78.01325,2392.9500571087597
79.01325,2393.1222985379163
80.01325,2393.2918717174625
81.01325,2393.458849976713
82.01325,2393.6233037656225
83.01325,2393.7853008010907
84.01325,2393.944906204327
85.01325,2394.1021826293136
86.01325,2394.257190384052
87.01325,2394.4099875440784
88.01325,2394.560630059657
89.01325,2394.709171856248
90.01325,2394.855664929518
91.01325,2395.0001594347127
92.01325,2395.1427037711787
93.01325,2395.2833446617065
94.01325,2395.4221272280033
95.01325,2395.559095061685
96.01325,2395.694290291454
97.01325,2395.8277536468104
98.01325,2395.959524518165
99.01325,2396.089641013927
100.01325,2396.2181400147133
101.01325,2396.345057224375
102.01325,2396.470427218898
103.01325,2396.5942834924563
104.01325,2396.716658501302
105.01325,2396.8375837055114
106.01325,2396.9570896086684
107.01325,2397.075205795534
108.01325,2397.1919609677807
109.01325,2397.3073829784607
110.01325,2397.421498864406
111.01325,2397.534334877226
112.01325,2397.6459165129436
113.01325,2397.7562685401876
114.01325,2397.8654150270795
115.01325,2397.973379367174
116.01325,2398.0801843033933
117.01325,2398.185851952356
118.01325,2398.2904038260212
119.01325,2398.393860853619
120.01325,2398.496243401751
121.01325,2398.5975712943705
122.01325,2398.697863831366
123.01325,2398.7971398065865
124.01325,2398.895417524979
125.01325,2398.992714819284
126.01325,2399.08904906572
127.01325,2399.1844371990373
128.01325,2399.2788957274643
129.01325,2399.37244074623
130.01325,2399.4650879511632
131.01325,2399.556852651701
132.01325,2399.64774978295
133.01325,2399.7377939178664
134.01325,2399.8269992783776
135.01325,2399.915379746619
136.01325,2400.0029488752475
137.01325,2400.0897198978387
138.01325,2400.1757057385003
139.01325,2400.260919021173
140.01325,2400.3453720790344
141.01325,2400.42907696273
142.01325,2400.5120454491594
143.01325,2400.5942890494216
144.01325,2400.6758190165456
145.01325,2400.7566463531116
146.01325,2400.836781818466
147.01325,2400.916235935704
148.01325,2400.9950189982746
149.01325,2401.0731410767794
150.01325,2401.15061202505
151.01325,2401.2274414861454
152.01325,2401.3036388984324
153.01325,2401.379213501013
154.01325,2401.4541743393197
155.01325,2401.528530270422
156.01325,2401.6022899679742
157.01325,2401.6754619273056
158.01325,2401.7480544700556
159.01325,2401.8200757488903
160.01325,2401.891533751965
161.01325,2401.96243630715
162.01325,2402.032791086337
163.01325,2402.102605609314
164.01325,2402.1718872477936
165.01325,2402.2406432292432
166.01325,2402.308880640507
167.01325,2402.376606431265
168.01325,2402.4438274176714
169.01325,2402.5105502855554
170.01325,2402.5767815937047
171.01325,2402.6425277769995
172.01325,2402.707795149415
173.01325,2402.772589907185
174.01325,2402.8369181312364
175.01325,2402.900785790461
176.01325,2402.964198744052
177.01325,2403.0271627442185
178.01325,2403.089683438926
179.01325,2403.1517663739337
180.01325,2403.2134169956785
181.01325,2403.2746406531724
182.01325,2403.3354426006326
183.01325,2403.3958279993208
184.01325,2403.455801919953
185.01325,2403.515369344599
186.01325,2403.5745351688397
187.01325,2403.633304203603
188.01325,2403.6916811770357
189.01325,2403.7496707365685
190.01325,2403.8072774504294
191.01325,2403.8645058096295
192.01325,2403.921360229527
193.01325,2403.977845051598
194.01325,2404.0339645448075
195.01325,2404.089722907535
196.01325,2404.1451242688327
197.01325,2404.2001726899375
198.01325,2404.2548721658677
199.01325,2404.309226626737
200.01325,2404.363239939
201.01325,2404.4169159070843
202.01325,2404.4702582743457
203.01325,2404.5232707246655
204.01325,2404.575956883418
205.01325,2404.6283203189014
206.01325,2404.680364543316
207.01325,2404.732093013982
208.01325,2404.7835091345505
209.01325,2404.834616255966
210.01325,2404.885417677507
211.01325,2404.9359166480353
212.01325,2404.986116366597
213.01325,2405.0360199839142
