P[bar],断熱火炎t1[K]
570.01325,2733.8847056762916
571.01325,2733.92983750288
572.01325,2733.9748751378743
573.01325,2734.0198189383864
574.01325,2734.0646692596106
575.01325,2734.1094264547646
576.01325,2734.1540908751354
577.01325,2734.198662870057
578.01325,2734.2431427870124
579.01325,2734.287530971526
580.01325,2734.331827767267
581.01325,2734.376033516057
582.01325,2734.4201485578155
583.01325,2734.46417323066
584.01325,2734.508107870835
585.01325,2734.5519528128125
586.01325,2734.595708389229
587.01325,2734.639374930931
588.01325,2734.6829527670243
589.01325,2734.7264422248004
590.01325,2734.769843629824
591.01325,2734.8131573058968
592.01325,2734.8563835751233
593.01325,2734.8995227578507
594.01325,2734.942575172768
595.01325,2734.9855411368203
596.01325,2735.0284209653287
597.01325,2735.071214971886
598.01325,2735.113923468455
599.01325,2735.156546765373
600.01325,2735.1990851712812
601.01325,2735.2415389932726
602.01325,2735.283908536765
603.01325,2735.3261941056176
604.01325,2735.3683960020603
605.01325,2735.410514526774
606.01325,2735.4525499788747
607.01325,2735.4945026558803
608.01325,2735.5363728538127
609.01325,2735.578160867096
610.01325,2735.6198669887103
611.01325,2735.661491510045
612.01325,2735.7030347209966
613.01325,2735.7444969100065
614.01325,2735.785878363991
615.01325,2735.8271793684016
616.01325,2735.8684002072637
617.01325,2735.9095411630424
618.01325,2735.950602516884
619.01325,2735.9915845484174
620.01325,2736.032487535858
621.01325,2736.073311756053
622.01325,2736.114057484329
623.01325,2736.154724994789
624.01325,2736.195314559933
625.01325,2736.235826451075
626.01325,2736.2762609380743
627.01325,2736.316618289389
628.01325,2736.3568987721983
629.01325,2736.397102652318
630.01325,2736.437230194197
631.01325,2736.477281660981
632.01325,2736.5172573145205
633.01325,2736.557157415317
634.01325,2736.5969822225957
635.01325,2736.6367319942915
636.01325,2736.6764069870515
637.01325,2736.716007456235
638.01325,2736.7555336559626
639.01325,2736.7949858390807
640.01325,2736.834364257159
641.01325,2736.8736691605827
642.01325,2736.9129007984834
643.01325,2736.9520594186383
644.01325,2736.991145267941
645.01325,2737.030158591725
646.01325,2737.069099634318
647.01325,2737.107968638715
648.01325,2737.146765846872
649.01325,2737.1854914994633
650.01325,2737.2241458360395
651.01325,2737.2627290949563
652.01325,2737.3012415134053
653.01325,2737.339683327504
654.01325,2737.378054772147
655.01325,2737.4163560811303
656.01325,2737.4545874871046
657.01325,2737.492749221602
658.01325,2737.530841515053
659.01325,2737.568864596789
660.01325,2737.6068186950583
661.01325,2737.6447040369103
662.01325,2737.6825208484556
663.01325,2737.720269354633
664.01325,2737.757949779353
665.01325,2737.795562345399
666.01325,2737.8331072745773
667.01325,2737.8705847875776
668.01325,2737.9079951040962
669.01325,2737.9453384427393
670.01325,2737.9826150210993
671.01325,2738.0198250557714
672.01325,2738.0569687622856
673.01325,2738.094046355228
674.01325,2738.1310580480645
675.01325,2738.16800405335
676.01325,2738.2048845826043
677.01325,2738.2416998463978
678.01325,2738.278450054301
679.01325,2738.3151354148513
680.01325,2738.3517561357276
681.01325,2738.388312423515
682.01325,2738.424804483962
683.01325,2738.46123252176
684.01325,2738.4975967407336
685.01325,2738.533897343692
686.01325,2738.5701345325915
687.01325,2738.60630850837
688.01325,2738.642419471139
689.01325,2738.6784676199786
690.01325,2738.7144531531617
691.01325,2738.750376267975
692.01325,2738.7862371608494
693.01325,2738.8220360272844
694.01325,2738.857773061928
695.01325,2738.8934484585006
696.01325,2738.9290624098753
697.01325,2738.964615108
698.01325,2739.0001067440444
699.01325,2739.0355375081817
700.01325,2739.0709075898326
701.01325,2739.106217177558
702.01325,2739.141466459
703.01325,2739.1766556209777
704.01325,2739.211784849545
705.01325,2739.246854329801
706.01325,2739.2818642460966
707.01325,2739.3168147819183
708.01325,2739.3517061199923
709.01325,2739.3865384421356
710.01325,2739.421311929441
711.01325,2739.4560267621264
712.01325,2739.490683119664
713.01325,2739.5252811806895
714.01325,2739.559821123066
715.01325,2739.5943031238726
716.01325,2739.628727359387
717.01325,2739.6630940051155
718.01325,2739.6974032358053
719.01325,2739.731655225407
720.01325,2739.765850147138
721.01325,2739.7999881734313
722.01325,2739.834069475981
723.01325,2739.868094225674
724.01325,2739.9020625927606
725.01325,2739.935974746633
726.01325,2739.969830856018
727.01325,2740.0036310888568
728.01325,2740.037375612466
729.01325,2740.0710645932395
730.01325,2740.104698196996
731.01325,2740.138276588856
732.01325,2740.1717999331427
733.01325,2740.2052683934785
