P[bar],T[K]
1.0000000000000002,300.0
1.0000278256918689,300.0023595169876
1.0000556527158841,300.0047191003614
1.0000834809954489,300.00707872711973
1.0001113105793982,300.00943841188933
1.000139141617045,300.01179819943627
1.000166973958729,300.01415804484174
1.0001948076045288,300.01651794810573
1.000222642554522,300.0188779092282
1.000250478808787,300.0212379282092
1.0002783163674014,300.0235980050487
1.0003061552304442,300.02595813974676
1.0003339953979926,300.02831833230334
1.0003618369349456,300.0306786021594
1.0003896798689338,300.03303895757733
1.000417524123846,300.0353993757055
1.0004453696997604,300.0377598565437
1.000473216596757,300.04012040009206
1.0005010648149146,300.0424810063506
1.0005289143543123,300.0448416753193
1.0005567652150296,300.04720240699805
1.000584617397145,300.049563201387
1.0006124709007382,300.05192405848607
1.0006403257258887,300.0542849782953
1.0006681818726746,300.05664596081465
1.0006960393411761,300.05900700604417
1.0007238981314714,300.0613681139838
1.0007517582436405,300.0637292846336
1.0007796196777627,300.06609051799353
1.0008074824339164,300.06845181406356
1.0008353465121813,300.07081317284377
1.0008632119950696,300.0731746190487
1.000891078814474,300.075536132234
1.0009189469617945,300.07789770979736
1.0009468164371114,300.08025935173896
1.0009746872405032,300.08262105805863
1.0010025593720508,300.08498282875655
1.0010304328318331,300.0873446638326
1.0010583076199293,300.08970656328677
1.0010861837364198,300.0920685271191
1.0011140611813834,300.0944305553296
1.0011419399549006,300.0967926479183
1.0011698200570502,300.0991548048851
1.0011977014879123,300.10151702623006
1.0012255842475664,300.10387931195316
1.0012534683360923,300.10624166205446
1.0012813537535696,300.1086040765339
1.0013092405000776,300.1109665553915
1.0013371285756962,300.1133290986272
1.0013650179805056,300.11569170624114
1.0013929087145845,300.11805437823324
1.0014208007780132,300.1204171146034
1.0014486941708716,300.1227799153518
1.001476588893238,300.1251427804783
1.001504484945194,300.12750570998304
1.0015323823268183,300.1298687038659
1.0015602810381905,300.1322317621269
1.0015881810793905,300.13459488476605
1.001616082450498,300.13695807178334
1.001643985151593,300.1393213231788
1.0016718891827552,300.1416846389524
1.001699794544064,300.1440480191042
1.0017277012355992,300.14641146363414
1.0017556093157485,300.14877499001256
1.0017835187312965,300.1511385822703
1.0018114294794698,300.1535022395525
1.0018393415603488,300.1558659618592
1.0018672549740133,300.15822974919047
1.0018951697205436,300.1605936015462
1.0019230858000188,300.1629575189265
1.0019510032125192,300.1653215013313
1.0019789219581248,300.1676855487605
1.0020068420369153,300.1700496612143
1.002034763448971,300.1724138386926
1.0020626861943716,300.17477808119537
1.0020906102731972,300.17714238872264
1.002118535685528,300.17950676127447
1.0021464624314431,300.1818711988508
1.0021743905110234,300.1842357014516
1.002202319924349,300.1866002690769
1.0022302506714988,300.1889649017267
1.0022581827525536,300.19132959940106
1.0022861161675933,300.1936943620999
1.0023140509166981,300.19605918982325
1.0023419869999477,300.1984240825711
1.0023699244174222,300.20078904034347
1.0023978631692012,300.2031540631403
1.0024258032553657,300.20551915096166
1.0024537446759951,300.20788430380753
1.0024816874311695,300.21024952167795
1.002509631520969,300.2126148045728
1.002537576945474,300.2149801524922
1.0025655237047641,300.2173455654361
1.0025934717989196,300.2197110434045
1.0026214212280202,300.2220765863974
1.0026493719921465,300.22444219441485
1.0026773240913784,300.2268078674568
1.002705277525796,300.2291736055232
1.0027332322954796,300.23153940861414
1.002761188400509,300.23390527672956
1.0027891458409646,300.2362712098695
1.0028171046169259,300.238637208034
1.002845064728474,300.24100327122295
1.0028730261756882,300.2433693994364
1.002900988958649,300.24573559267435
1.0029289530774372,300.24810185093685
1.0029569185321316,300.25046817422384
1.0029848853228134,300.2528345625353
1.0030128534495624,300.2552010158713
1.0030408229124588,300.25756753423184
1.003068793711583,300.25993411761687
1.0030967658470142,300.2623007660263
1.0031247393188347,300.2646674794604
1.0031527141271224,300.2670342579189
1.0031806902719589,300.2694011014019
1.003208667753424,300.27176800990947
1.0032366465715978,300.2741349834415
1.003264626726561,300.27650202199806
1.0032926082271685,300.2788691282055
1.0033205911135572,300.281236314052
1.0033485753382094,300.28360356529157
1.0033765609012057,300.2859708819242
1.003404547802626,300.2883382639498
1.003432536042551,300.2907057113685
1.0034605256210605,300.2930732241802
1.0034885165382352,300.295440802385
1.003516508794156,300.2978084459828
1.0035445023889025,300.30017615497366
1.003572497322555,300.3025439293575
1.0036004935951948,300.3049117691345
1.0036284912069013,300.3072796743044
1.0036564901577554,300.3096476448675
1.0036844904478375,300.31201568082355
1.0037124920772278,300.3143837821726
1.0037404950460074,300.3167519489148
1.0037684993542553,300.31912018105
1.0037965050020532,300.32148847857826
1.0038245119894809,300.3238568414995
1.003852520316619,300.32622526981385
1.0038805299835483,300.3285937635212
1.0039085409903488,300.33096232262164
1.003936553337101,300.3333309471151
1.0039645670238857,300.3356996370016
1.003992582050783,300.3380683922811
1.0040205984178734,300.3404372129537
1.0040486161252375,300.3428060990193
1.0040766351729558,300.345175050478
1.004104655561109,300.3475440673297
1.0041326772897772,300.34991314957443
1.0041607003590411,300.35228229721224
1.0041887247689814,300.3546515102431
1.0042167505196782,300.357020788667
1.004244777611212,300.3593901324839
1.004272806043664,300.36175954169386
1.0043008358171144,300.3641290162969
1.0043288669316432,300.3664985562929
1.0043568993873322,300.36886816168203
1.0043849331842607,300.3712378324642
1.00441296832251,300.3736075686394
1.0044410048021601,300.3759773702076
1.0044690426232925,300.3783472371689
1.0044970817859866,300.38071716952317
1.0045251222903238,300.38308716727056
1.004553164136385,300.38545723041096
1.0045812073242495,300.3878273589444
1.0046092518539993,300.39019755287086
1.004637297725714,300.3925678121904
