P[bar],断熱火炎t1[K]
108.01325,2296.060914461899
109.01325,2296.146702238072
110.01325,2296.231514924616
111.01325,2296.3153722114985
112.01325,2296.3982932194504
113.01325,2296.4802965215576
114.01325,2296.5614001635413
115.01325,2296.641621683129
116.01325,2296.7209781286815
117.01325,2296.79948607681
118.01325,2296.877161649411
119.01325,2296.954020529734
120.01325,2297.0300779780346
121.01325,2297.105348846119
122.01325,2297.1798475916976
123.01325,2297.253588292005
124.01325,2297.326584656684
125.01325,2297.398850040155
126.01325,2297.4703974537533
127.01325,2297.541239577089
128.01325,2297.611388768991
129.01325,2297.6808570781686
130.01325,2297.749656252997
131.01325,2297.8177977515957
132.01325,2297.885292750906
133.01325,2297.9521521558463
134.01325,2298.0183866076113
135.01325,2298.084006492265
136.01325,2298.1490219485227
137.01325,2298.213442875286
138.01325,2298.277278939381
139.01325,2298.3405395821114
140.01325,2298.4032340266126
141.01325,2298.4653712839245
142.01325,2298.5269601597242
143.01325,2298.5880092601656
144.01325,2298.648526997685
145.01325,2298.708521597083
146.01325,2298.768001100333
147.01325,2298.8269733724637
148.01325,2298.8854461061815
149.01325,2298.9434268270256
150.01325,2299.000922897909
151.01325,2299.0579415239176
152.01325,2299.1144897564404
153.01325,2299.170574497636
154.01325,2299.22620250437
155.01325,2299.2813803923154
156.01325,2299.3361146397756
157.01325,2299.390411591348
158.01325,2299.444277461374
159.01325,2299.497718337824
160.01325,2299.5507401850723
161.01325,2299.6033488477647
162.01325,2299.655550053346
163.01325,2299.7073494155466
164.01325,2299.7587524372225
165.01325,2299.8097645129533
166.01325,2299.8603909322906
167.01325,2299.910636881863
168.01325,2299.960507448399
169.01325,2300.0100076210556
170.01325,2300.059142293844
171.01325,2300.1079162680035
172.01325,2300.156334254389
173.01325,2300.2044008754724
174.01325,2300.252120667742
175.01325,2300.2994980835774
176.01325,2300.346537493406
177.01325,2300.3932431875237
178.01325,2300.4396193782914
179.01325,2300.485670201618
180.01325,2300.53139971898
181.01325,2300.5768119191544
182.01325,2300.621910719749
183.01325,2300.666699969069
184.01325,2300.7111834476364
185.01325,2300.755364869712
186.01325,2300.799247884794
187.01325,2300.842836079033
188.01325,2300.886132976906
189.01325,2300.929142042263
190.01325,2300.9718666799863
191.01325,2301.0143102370507
192.01325,2301.056476003939
193.01325,2301.098367215878
194.01325,2301.139987053998
195.01325,2301.181338646607
196.01325,2301.2224250701206
197.01325,2301.2632493504316
198.01325,2301.3038144638067
199.01325,2301.3441233380886
200.01325,2301.3841788535674
201.01325,2301.4239838440694
202.01325,2301.463541098065
203.01325,2301.5028533592204
204.01325,2301.541923327826
205.01325,2301.580753661362
206.01325,2301.619346975401
207.01325,2301.6577058446824
208.01325,2301.6958328037035
209.01325,2301.7337303476156
210.01325,2301.771400933082
211.01325,2301.8088469789027
212.01325,2301.846070867095
213.01325,2301.883074943175
214.01325,2301.919861517188
215.01325,2301.956432864397
216.01325,2301.9927912257344
217.01325,2302.0289388087886
218.01325,2302.0648777882902
219.01325,2302.1006103066
220.01325,2302.136138474723
221.01325,2302.1714643724576
222.01325,2302.2065900493103
223.01325,2302.2415175250453
224.01325,2302.2762487900236
225.01325,2302.310785805992
226.01325,2302.3451305065464
227.01325,2302.3792847976474
228.01325,2302.4132505580797
229.01325,2302.447029640047
230.01325,2302.4806238696424
231.01325,2302.5140350472884
232.01325,2302.5472649481826
233.01325,2302.5803153229044
234.01325,2302.6131878976803
235.01325,2302.645884374933
236.01325,2302.6784064336894
237.01325,2302.710755729927
238.01325,2302.7429338971356
239.01325,2302.774942546569
240.01325,2302.8067832676834
241.01325,2302.8384576285653
242.01325,2302.8699671763093
243.01325,2302.901313437249
244.01325,2302.932497917478
245.01325,2302.963522103184
246.01325,2302.994387460883
247.01325,2303.025095437806
248.01325,2303.0556474623004
249.01325,2303.086044944156
250.01325,2303.116289274609
251.01325,2303.146381827242
252.01325,2303.17632395775
253.01325,2303.206117004425
254.01325,2303.2357622884797
255.01325,2303.2652611143544
256.01325,2303.294614770076
257.01325,2303.323824526988
258.01325,2303.3528916409396
259.01325,2303.3818173516934
260.01325,2303.4106028837077
261.01325,2303.43924944615
262.01325,2303.467758233121
263.01325,2303.4961304242265
264.01325,2303.52436718429
265.01325,2303.5524696640887
266.01325,2303.5804390002036
267.01325,2303.6082763154513
268.01325,2303.635982719097
269.01325,2303.6635593068545
270.01325,2303.6910071615193
271.01325,2303.718327352738
272.01325,2303.745520937389
273.01325,2303.7725889598278
274.01325,2303.7995324520807
275.01325,2303.8263524339095
276.01325,2303.8530499130443
277.01325,2303.879625885515
278.01325,2303.9060813357387
279.01325,2303.9324172365573
280.01325,2303.9586345495386
281.01325,2303.9847342252965
282.01325,2304.0107172032244
283.01325,2304.0365844122434
284.01325,2304.062336770484
285.01325,2304.087975185639
286.01325,2304.1135005550204
287.01325,2304.1389137659703
288.01325,2304.164215695717
289.01325,2304.189407211587
290.01325,2304.214489171242
291.01325,2304.239462422828
292.01325,2304.264327805007
293.01325,2304.2890861471146
294.01325,2304.3137382693735
295.01325,2304.338284982989
296.01325,2304.3627270901793
297.01325,2304.387065384483
298.01325,2304.4113006507405
299.01325,2304.43543366534
300.01325,2304.4594651961766
301.01325,2304.4833960028955
302.01325,2304.5072268369336
303.01325,2304.530958441775
304.01325,2304.554591552839
305.01325,2304.578126897803
306.01325,2304.601565196597
307.01325,2304.624907161466
308.01325,2304.648153497247
309.01325,2304.6713049013297
310.01325,2304.694362063785
311.01325,2304.7173256674537
312.01325,2304.740196388163
313.01325,2304.7629748945496
314.01325,2304.785661848562
315.01325,2304.8082579051697
316.01325,2304.830763712602
317.01325,2304.8531799125294
318.01325,2304.8755071399933
319.01325,2304.8977460236124
320.01325,2304.919897185643
321.01325,2304.941961241967
322.01325,2304.963938802317
323.01325,2304.985830470292
324.01325,2305.007636843396
325.01325,2305.0293585131994
326.01325,2305.050996065389
327.01325,2305.072550079745
328.01325,2305.094021130457
329.01325,2305.115409785844
330.01325,2305.1367166088226
331.01325,2305.157942156684
332.01325,2305.179086981314
333.01325,2305.200151629081
334.01325,2305.2211366412666
335.01325,2305.2420425537134
336.01325,2305.262869897179
337.01325,2305.2836191972433
338.01325,2305.304290974438
339.01325,2305.3248857443564
340.01325,2305.3454040176903
341.01325,2305.3658463001047
342.01325,2305.386213092702
343.01325,2305.406504891633
344.01325,2305.426722188425
345.01325,2305.446865469951
346.01325,2305.466935218623
347.01325,2305.486931912142
348.01325,2305.506856024038
349.01325,2305.526708023133
350.01325,2305.546488373976
351.01325,2305.566197536981
352.01325,2305.5858359681383
353.01325,2305.605404119318
354.01325,2305.6249024381614
355.01325,2305.6443313683003
356.01325,2305.66369134924
357.01325,2305.6829828165914
358.01325,2305.702206201897
359.01325,2305.721361932872
360.01325,2305.740450433354
361.01325,2305.7594721232977
362.01325,2305.778427418989
363.01325,2305.797316732877
364.01325,2305.816140473924
365.01325,2305.8348990471386
366.01325,2305.8535928542437
367.01325,2305.872222293263
368.01325,2305.8907877586
369.01325,2305.9092896414545
370.01325,2305.927728329349
371.01325,2305.94610420649
372.01325,2305.964417653725
373.01325,2305.9826690486916
374.01325,2306.0008587654306
375.01325,2306.018987175131
376.01325,2306.037054645598
377.01325,2306.0550615413945
378.01325,2306.073008224023
379.01325,2306.0908950518915
380.01325,2306.108722380354
381.01325,2306.1264905616454
382.01325,2306.144199945124
383.01325,2306.161850877151
384.01325,2306.179443701053
385.01325,2306.196978757334
386.01325,2306.2144563837182
387.01325,2306.231876914908
388.01325,2306.249240683022
389.01325,2306.2665480170886
390.01325,2306.2837992438035
391.01325,2306.3009946867583
392.01325,2306.3181346671167
393.01325,2306.3352195032435
394.01325,2306.352249511012
395.01325,2306.369225003533
396.01325,2306.386146291457
397.01325,2306.403013682921
398.01325,2306.4198274834257
399.01325,2306.4365879960214
400.01325,2306.4532955213626
401.01325,2306.4699503576194
402.01325,2306.4865528005043
403.01325,2306.5031031434573
404.01325,2306.5196016774607
405.01325,2306.536048691204
406.01325,2306.5524444709868
407.01325,2306.568789300975
408.01325,2306.5850834629346
